time,lat,lon,mrt,utci,MRT_Celsius,UTCI_Celsius
2015-06-18 00:00:00,26.75,86.0,298.01123,299.5759,24.861230000000035,26.425900000000013
2015-06-18 00:00:00,26.75,86.25,297.58914,299.47296,24.43914000000001,26.322960000000023
2015-06-18 00:00:00,26.75,86.5,297.03043,299.43146,23.880430000000047,26.28146000000004
2015-06-18 00:00:00,26.75,86.75,296.46066,299.37363,23.31066000000004,26.223630000000014
2015-06-18 00:00:00,26.75,87.0,295.7925,298.7977,22.64250000000004,25.647700000000043
2015-06-18 00:00:00,26.75,87.25,295.27573,298.21402,22.125730000000033,25.064020000000028
2015-06-18 00:00:00,26.75,87.5,294.6638,297.32654,21.513800000000003,24.176540000000045
2015-06-18 00:00:00,26.75,87.75,294.1015,296.07178,20.95150000000001,22.921780000000012
2015-06-18 00:00:00,26.75,88.0,294.2721,296.077,21.122100000000046,22.92700000000002
2015-06-18 00:00:00,26.75,88.25,294.2721,296.077,21.122100000000046,22.92700000000002
2015-06-18 00:00:00,26.75,88.5,295.3813,298.21677,22.231300000000033,25.06677000000002
2015-06-18 00:00:00,26.75,88.75,296.26395,299.91806,23.113950000000045,26.768060000000048
2015-06-18 00:00:00,26.75,89.0,295.79922,299.1913,22.649220000000014,26.041300000000035
2015-06-18 00:00:00,26.75,89.25,295.10858,298.76266,21.95858000000004,25.612660000000005
2015-06-18 00:00:00,26.75,89.5,294.24417,297.1133,21.09417000000002,23.963300000000004
2015-06-18 00:00:00,26.75,89.75,293.6878,295.51358,20.537800000000004,22.363580000000013
2015-06-18 00:00:00,26.75,90.0,295.25677,297.61804,22.10677000000004,24.46804000000003
2015-06-18 00:00:00,26.5,85.5,297.6735,297.9757,24.523500000000013,24.82570000000004
2015-06-18 00:00:00,26.5,85.75,297.5205,298.46777,24.37050000000005,25.317769999999996
2015-06-18 00:00:00,26.5,86.0,297.5205,298.46777,24.37050000000005,25.317769999999996
2015-06-18 00:00:00,26.5,86.25,297.6003,298.7705,24.450300000000027,25.62050000000005
2015-06-18 00:00:00,26.5,86.5,297.25186,298.16373,24.101860000000045,25.01373000000001
2015-06-18 00:00:00,26.5,86.75,296.98746,298.27164,23.83746000000002,25.121640000000014
2015-06-18 00:00:00,26.5,87.0,297.14264,299.44116,23.992639999999994,26.291160000000048
2015-06-18 00:00:00,26.5,87.25,297.16724,299.896,24.017240000000015,26.746000000000038
2015-06-18 00:00:00,26.5,87.5,297.0522,299.85928,23.90220000000005,26.709280000000035
2015-06-18 00:00:00,26.5,87.75,297.30173,300.6564,24.151730000000043,27.506400000000042
2015-06-18 00:00:00,26.5,88.0,297.58075,301.46274,24.430750000000046,28.31274000000002
2015-06-18 00:00:00,26.5,88.25,297.58075,301.46274,24.430750000000046,28.31274000000002
2015-06-18 00:00:00,26.5,88.5,297.4959,301.38766,24.34590000000003,28.237660000000005
2015-06-18 00:00:00,26.5,88.75,297.35657,300.97128,24.20657,27.82128
