time,lat,lon,mrt,utci
2019-04-01 00:00:00,26.5,88.75,292.19128,291.72125
2019-04-01 00:00:00,26.5,89.0,292.1491,291.47876
2019-04-01 00:00:00,26.5,89.25,291.83218,291.18405
2019-04-01 00:00:00,26.5,89.5,291.70663,290.6752
2019-04-01 00:00:00,26.5,89.75,291.44193,289.62402
2019-04-01 00:00:00,26.5,90.0,291.08606,290.67526
2019-04-01 00:00:00,26.25,85.5,289.8079,288.45926
2019-04-01 00:00:00,26.25,85.75,290.6923,288.57803
2019-04-01 00:00:00,26.25,86.0,290.6923,288.57803
2019-04-01 00:00:00,26.25,86.25,291.81714,289.08813
2019-04-01 00:00:00,26.25,86.5,292.6541,289.59064
2019-04-01 00:00:00,26.25,86.75,293.09903,289.80908
2019-04-01 00:00:00,26.25,87.0,293.28973,289.79376
2019-04-01 00:00:00,26.25,87.25,293.45657,290.2363
2019-04-01 00:00:00,26.25,87.5,293.3701,290.78027
2019-04-01 00:00:00,26.25,87.75,293.17032,291.15613
2019-04-01 00:00:00,26.25,88.0,292.8388,291.25552
2019-04-01 00:00:00,26.25,88.25,292.8388,291.25552
2019-04-01 00:00:00,26.25,88.5,292.36612,291.2203
2019-04-01 00:00:00,26.25,88.75,292.15485,290.96735
2019-04-01 00:00:00,26.25,89.0,292.18124,289.7657
2019-04-01 00:00:00,26.25,89.25,292.10248,288.4348
2019-04-01 00:00:00,26.25,89.5,292.19485,288.38965
2019-04-01 00:00:00,26.25,89.75,292.31738,288.685
2019-04-01 00:00:00,26.25,90.0,292.18698,289.04846
2019-04-01 00:00:00,26.0,85.5,290.32016,288.90732
2019-04-01 00:00:00,26.0,85.75,290.89047,289.02475
2019-04-01 00:00:00,26.0,86.0,290.89047,289.02475
2019-04-01 00:00:00,26.0,86.25,291.32727,289.3552
2019-04-01 00:00:00,26.0,86.5,291.7723,290.35068
2019-04-01 00:00:00,26.0,86.75,292.32504,291.20346
2019-04-01 00:00:00,26.0,87.0,292.75003,291.51093
2019-04-01 00:00:00,26.0,87.25,293.1061,291.57642
2019-04-01 00:00:00,26.0,87.5,293.32785,291.33533
2019-04-01 00:00:00,26.0,87.75,293.09207,290.8085
2019-04-01 00:00:00,26.0,88.0,292.54514,290.16916
2019-04-01 00:00:00,26.0,88.25,292.54514,290.16916
2019-04-01 00:00:00,26.0,88.5,292.0736,289.99857
2019-04-01 00:00:00,26.0,88.75,291.7652,290.37476
2019-04-01 00:00:00,26.0,89.0,291.66837,290.21286
2019-04-01 00:00:00,26.0,89.25,291.75833,289.71268
2019-04-01 00:00:00,26.0,89.5,291.96082,289.6421
2019-04-01 00:00:00,26.0,89.75,292.46625,290.4489
2019-04-01 00:00:00,26.0,90.0,293.0466,291.1142
2019-04-01 00:00:00,25.75,85.5,290.32336,289.57642
2019-04-01 00:00:00,25.75,85.75,290.43143,289.35938
2019-04-01 00:00:00,25.75,86.0,290.43143,289.35938
2019-04-01 00:00:00,25.75,86.25,290.50858,289.5094
2019-04-01 00:00:00,25.75,86.5,290.78857,289.9399
2019-04-01 00:00:00,25.75,86.75,291.179,290.61676
2019-04-01 00:00:00,25.75,87.0,291.62463,291.5537
2019-04-01 00:00:00,25.75,87.25,292.09247,292.15872
2019-04-01 00:00:00,25.75,87.5,292.3655,292.1139
2019-04-01 00:00:00,25.75,87.75,292.3387,291.69278
2019-04-01 00:00:00,25.75,88.0,292.07343,291.13928
2019-04-01 00:00:00,25.75,88.25,292.07343,291.13928
2019-04-01 00:00:00,25.75,88.5,291.71564,290.83142
2019-04-01 00:00:00,25.75,88.75,291.35886,290.90817
2019-04-01 00:00:00,25.75,89.0,291.0042,290.81784
2019-04-01 00:00:00,25.75,89.25,290.86685,290.79147
2019-04-01 00:00:00,25.75,89.5,291.26074,291.0161
2019-04-01 00:00:00,25.75,89.75,292.22675,292.39374
2019-04-01 00:00:00,25.75,90.0,292.1962,292.33032
2019-04-01 00:00:00,25.5,85.5,290.24808,290.32498
2019-04-01 00:00:00,25.5,85.75,290.26724,290.02072
2019-04-01 00:00:00,25.5,86.0,290.26724,290.02072
2019-04-01 00:00:00,25.5,86.25,290.25134,289.66754
2019-04-01 00:00:00,25.5,86.5,290.71277,289.79718
2019-04-01 00:00:00,25.5,86.75,291.40363,290.50903
2019-04-01 00:00:00,25.5,87.0,291.954,291.42657
2019-04-01 00:00:00,25.5,87.25,292.29456,291.91302
2019-04-01 00:00:00,25.5,87.5,292.3357,292.1349
2019-04-01 00:00:00,25.5,87.75,292.1022,292.0676
2019-04-01 00:00:00,25.5,88.0,291.51575,291.57626
2019-04-01 00:00:00,25.5,88.25,291.51575,291.57626
2019-04-01 00:00:00,25.5,88.5,290.93857,291.18127
2019-04-01 00:00:00,25.5,88.75,290.77814,291.28702
2019-04-01 00:00:00,25.5,89.0,290.61203,291.35553
2019-04-01 00:00:00,25.5,89.25,290.6287,291.1385
2019-04-01 00:00:00,25.5,89.5,291.16135,291.10297
2019-04-01 00:00:00,25.5,89.75,292.29193,292.72452
2019-04-01 00:00:00,25.5,90.0,291.97946,291.12698
2019-04-01 00:00:00,25.25,85.5,289.86703,291.28326
2019-04-01 00:00:00,25.25,85.75,289.74136,290.8488
2019-04-01 00:00:00,25.25,86.0,289.74136,290.8488
2019-04-01 00:00:00,25.25,86.25,290.18542,290.681
2019-04-01 00:00:00,25.25,86.5,291.16675,291.2198
2019-04-01 00:00:00,25.25,86.75,292.34998,292.42148
2019-04-01 00:00:00,25.25,87.0,292.97308,292.83807
2019-04-01 00:00:00,25.25,87.25,292.841,292.35852
2019-04-01 00:00:00,25.25,87.5,292.22473,291.8925
2019-04-01 00:00:00,25.25,87.75,291.62085,291.6606
2019-04-01 00:00:00,25.25,88.0,290.9485,291.33023
2019-04-01 00:00:00,25.25,88.25,290.9485,291.33023
2019-04-01 00:00:00,25.25,88.5,290.38297,291.0311
2019-04-01 00:00:00,25.25,88.75,290.42267,290.93744
2019-04-01 00:00:00,25.25,89.0,290.67438,290.5905
2019-04-01 00:00:00,25.25,89.25,291.01318,289.96832
2019-04-01 00:00:00,25.25,89.5,291.51093,289.76416
2019-04-01 00:00:00,25.25,89.75,292.30997,290.8846
2019-04-01 00:00:00,25.25,90.0,292.19247,289.7339
2019-04-01 00:00:00,25.0,85.5,289.0469,292.93106
2019-04-01 00:00:00,25.0,85.75,289.0408,292.728
2019-04-01 00:00:00,25.0,86.0,289.0408,292.728
2019-04-01 00:00:00,25.0,86.25,290.028,292.06436
2019-04-01 00:00:00,25.0,86.5,291.38837,291.46777
2019-04-01 00:00:00,25.0,86.75,292.73407,291.76654
2019-04-01 00:00:00,25.0,87.0,293.31027,291.47003
2019-04-01 00:00:00,25.0,87.25,293.19724,290.85007
2019-04-01 00:00:00,25.0,87.5,292.45004,290.8142
2019-04-01 00:00:00,25.0,87.75,291.61203,291.17975
2019-04-01 00:00:00,25.0,88.0,290.67987,291.30078
2019-04-01 00:00:00,25.0,88.25,290.67987,291.30078
2019-04-01 00:00:00,25.0,88.5,289.9826,291.10828
2019-04-01 00:00:00,25.0,88.75,290.2742,290.8445
2019-04-01 00:00:00,25.0,89.0,290.91934,290.60452
2019-04-01 00:00:00,25.0,89.25,291.5078,290.53128
2019-04-01 00:00:00,25.0,89.5,292.0565,290.32092
2019-04-01 00:00:00,25.0,89.75,292.6319,290.15463
2019-04-01 00:00:00,25.0,90.0,292.3212,290.62198
